index,question,sentence
173,How many hundred of years was Scotland directly governed by the parliament of Great Britain?,"For the next three hundred years, Scotland was directly governed by the Parliament of Great Britain and the subsequent Parliament of the United Kingdom, both seated at Westminster, and the lack of a Parliament of Scotland remained an important element in Scottish national identity."
606,What is tertiary endosymbiosis of haptophyte chloroplasts expected to create?,"Because the haptophyte chloroplast has four membranes, tertiary endosymbiosis would be expected to create a six membraned chloroplast, adding the haptophyte's cell membrane and the dinophyte's phagosomal vacuole."
3485,How many academic research divisions does the University of Chicago have?,"Beyond the arts and sciences, Chicago is also well known for its professional schools, which include the Pritzker School of Medicine, the University of Chicago Booth School of Business, the Law School, the School of Social Service Administration, the Harris School of Public Policy Studies, the Graham School of Continuing Liberal and Professional Studies and the Divinity School."
2797,Who decided not to come visit the country in 2013?,"With International Criminal Court trial dates in 2013 for both President Kenyatta and Deputy President William Ruto related to the 2007 election aftermath, US President Barack Obama chose not to visit the country during his mid-2013 African trip."
4890,What are examples of the various religions of Mongol tribes?,"The Mongol Empire practiced religious tolerance because Mongol tradition had long held that religion was a personal concept, and not subject to law or interference.[citation needed]"
2759,How do ctenophores control buoyancy?,"If they enter less dense brackish water, the ciliary rosettes in the body cavity may pump this into the mesoglea to increase its bulk and decrease its density, to avoid sinking."
534,What is tertiary education?,"Generally, education in Australia follows the three-tier model which includes primary education (primary schools), followed by secondary education (secondary schools/high schools) and tertiary education (universities and/or TAFE colleges)."
936,How much heavier is oxygen 18 than oxygen 16?,Paleoclimatologists measure the ratio of oxygen-18 and oxygen-16 in the shells and skeletons of marine organisms to determine what the climate was like millions of years ago (see oxygen isotope ratio cycle).
3729,What did Tesla work on in 1888?,"Between them, they settled on a 60-cycle AC current system Tesla proposed (to match the working frequency of Tesla's motor), although they soon found that, since Tesla's induction motor could only run at a constant speed, it would not work for street cars."
2592,What animals may have been stampeded over Genghis Khan's grave site?,"Other tales state that his grave was stampeded over by many horses, and that trees were then planted over the site, and the permafrost also did its part in hiding the burial site."
4457,Who owns more wealth than the bottom 90 percent of people in the U.S.?,"According to the New York Times on July 22, 2014, the ""richest 1 percent in the United States now own more wealth than the bottom 90 percent""."
5048,What color was the background for ABC's 1977 ID sequence?,"Among the ""ABC Circle"" logo's many variants was a 1977 ID sequence that featured a bubble on a black background representing the circle with glossy gold letters, and as such, was the first ABC identification card to have a three-dimensional appearance."
1636,What was the name of the first Doctor Who story released as an LP?,Doctor Who and the Pescatons featuring the Fourth Doctor.
528,What was Sadat seeking by releasing Islamists from prison?,Egyptian President Anwar Sadat – whose policies included opening Egypt to Western investment (infitah); transferring Egypt's allegiance from the Soviet Union to the United States; and making peace with Israel – released Islamists from prison and welcomed home exiles in tacit exchange for political support in his struggle against leftists.
4206,Why did Luther condemn vows of celibacy?,"He had long condemned vows of celibacy on Biblical grounds, but his decision to marry surprised many, not least Melanchthon, who called it reckless."
4823,What does each packet includ in connectionless mode,In connectionless mode each packet includes complete addressing information.
